registration_no,action_srno,action_name,date_of_action,org_name,org_name2,remarks
AYUSH/E/2019/00754,4,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Health & Family Welfare,  Subject matter does not pertain to this department. It pertains to Ministry of Health and Family Walefare. May be taken up with them.
AYUSH/E/2019/00757,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00759,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Higher Education, Please take action
AYUSH/E/2019/00760,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax), Please take action
AYUSH/E/2019/00762,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00764,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00765,3,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Higher Education, Please take action
AYUSH/E/2019/00767,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of Labour and Employment, Please take action
AYUSH/E/2019/00769,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00773,2,TRANSFER TO OTHER ORGANISATION,11-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action 
AYUSH/E/2019/00775,2,TRANSFER TO OTHER ORGANISATION,11-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00778,2,TRANSFER TO OTHER ORGANISATION,11-10-19,Ministry of Ayush,Ministry of Labour and Employment,  Please take action
AYUSH/E/2019/00782,2,TRANSFER TO OTHER ORGANISATION,14-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00784,2,TRANSFER TO OTHER ORGANISATION,14-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00784,8,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00786,2,TRANSFER TO OTHER ORGANISATION,14-10-19,Ministry of Ayush,Ministry of Home Affairs, Please take action
AYUSH/E/2019/00792,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00793,3,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Personnel and Training, please take action
AYUSH/E/2019/00798,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  please take action
AYUSH/E/2019/00799,3,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Health & Family Welfare,  please take action
AYUSH/E/2019/00803,3,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of External Affairs,  please take action
AYUSH/E/2019/00805,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board),  please take action
AYUSH/E/2019/00806,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of Labour and Employment, please take action
AYUSH/E/2019/00809,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  please take action
AYUSH/E/2019/00812,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  please take action
AYUSH/E/2019/00814,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board),  please take action
AYUSH/E/2019/00819,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Health & Family Welfare,  please take action
AYUSH/E/2019/00820,3,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Health & Family Welfare,  please take action
AYUSH/E/2019/00822,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Higher Education,  please take action
AYUSH/E/2019/00827,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  please take action
AYUSH/E/2019/00837,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of External Affairs,  please take action
AYUSH/E/2019/00838,3,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Defence,  please take action
AYUSH/E/2019/00840,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Ministry of Labour and Employment,  please take action
AYUSH/E/2019/00841,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  please take action
AYUSH/E/2019/00843,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Government of Chattisgarh,  please take action
AYUSH/E/2019/00843,4,TRANSFER TO OTHER ORGANISATION,23-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Please take action
AYUSH/E/2019/00848,2,TRANSFER TO OTHER ORGANISATION,21-10-19,Ministry of Ayush,Department of Telecommunications,  please take action
AYUSH/E/2019/00864,2,TRANSFER TO OTHER ORGANISATION,22-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  Please take action
AYUSH/E/2019/00867,2,TRANSFER TO OTHER ORGANISATION,22-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00869,2,TRANSFER TO OTHER ORGANISATION,22-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00871,3,TRANSFER TO OTHER ORGANISATION,22-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00882,2,TRANSFER TO OTHER ORGANISATION,22-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board),  Please take action
AYUSH/E/2019/00886,2,TRANSFER TO OTHER ORGANISATION,23-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00889,2,TRANSFER TO OTHER ORGANISATION,23-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00895,2,TRANSFER TO OTHER ORGANISATION,23-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Please take action
AYUSH/E/2019/00896,2,TRANSFER TO OTHER ORGANISATION,23-10-19,Ministry of Ayush,Department of Higher Education, Please take action
AYUSH/E/2019/00900,2,TRANSFER TO OTHER ORGANISATION,24-10-19,Ministry of Ayush,Department of Defence, Please take action
AYUSH/E/2019/00902,2,TRANSFER TO OTHER ORGANISATION,24-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  please take action.
AYUSH/E/2019/00919,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00922,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Defence,  Please take action
AYUSH/E/2019/00925,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action
AYUSH/E/2019/00927,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00932,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action
AYUSH/E/2019/00936,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00939,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Ministry of Labour and Employment,  Please take action
AYUSH/E/2019/00940,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00941,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
AYUSH/E/2019/00943,2,TRANSFER TO OTHER ORGANISATION,30-10-19,Ministry of Ayush,Department of Financial Services (Banking Division),  Please take action
CBODT/E/2019/07092,2,TRANSFER TO OTHER ORGANISATION,01-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end.यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07153,2,TRANSFER TO OTHER ORGANISATION,02-04-19,Central Board of Direct Taxes (Income Tax),Government of Himachal Pradesh," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07250,2,TRANSFER TO OTHER ORGANISATION,04-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07256,2,TRANSFER TO OTHER ORGANISATION,04-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07272,2,TRANSFER TO OTHER ORGANISATION,04-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07285,14,TRANSFER TO OTHER ORGANISATION,23-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the status report at the earliest.
CBODT/E/2019/07436,2,TRANSFER TO OTHER ORGANISATION,05-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs,"यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07450,14,TRANSFER TO OTHER ORGANISATION,23-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the status report at the earliest.
CBODT/E/2019/07507,2,TRANSFER TO OTHER ORGANISATION,08-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07525,2,TRANSFER TO OTHER ORGANISATION,12-04-19,Central Board of Direct Taxes (Income Tax),Department of Bio Technology," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07576,2,TRANSFER TO OTHER ORGANISATION,08-04-19,Central Board of Direct Taxes (Income Tax),Government of Madhya Pradesh," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07577,2,TRANSFER TO OTHER ORGANISATION,08-04-19,Central Board of Direct Taxes (Income Tax),Government of Gujarat," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07577,5,TRANSFER TO OTHER ORGANISATION,18-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment,  Kindly see the matter and resolve the grievance at the earliest.
CBODT/E/2019/07637,8,TRANSFER TO OTHER ORGANISATION,21-05-19,Central Board of Direct Taxes (Income Tax),Ministry of Petroleum and Natural Gas, कृपया इस मामले को देखें और जल्द से जल्द स्टेटस रिपोर्ट अपलोड करें।     Kindly look into the matter and upload the status report at the earliest.
CBODT/E/2019/07720,2,TRANSFER TO OTHER ORGANISATION,09-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07775,2,TRANSFER TO OTHER ORGANISATION,12-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
