registration_no,subject_content,action_name,date_of_action,org_name,org_name2,remarks,id
AYUSH/E/2019/00486  ,Respected Minister of the concerned department  I want to discuss with you the INEQUALITIES FACED BY FEMALE DEFENCE ASPIRANTS IN THE SELECTION PROCESS I m SURBHI SHARMA  one of the defence aspirants from Pathankot Punjab. I have a sorted dream of joining Indian Army for Officer Entry. I appeared for CDS examination conducted by UPSC cleared it got recommended from SSB and was declared medically fit. I have cleared the Exam SSB and the Medical criteria from **SSB Allahbad **** June Inspite of scoring AIR ** I am not able to go to OTA due to less number of vacancies for females. Service Selection Board recommends a candidate since he/she possess all the qualities to become an Army officer and can serve the nation in the best possible way however its the female candidates who are restricted by the LESS NUMBER OF VACANCIES FOR WOMEN CDS ENTRY i.e ** as compared to that of Men vacancies i.e ***. The ratio of ***:** is the issue which has to be looked upon. Sirtoday the Govt of India in all aspects talks of EQUALITYBETI BACHAO - BETI PADHAO and efforts beings made to empower girls but this seems unreal for us because looking at the ratio of ***:** we feel our capabilities and potentials are not even treated equally. We all Men and Women appear for the same CDS examclears the same SSB interview and undergo same medical procedure but when it comes to selection we are  given a tag of MERIT OUT and that too after we see our names in the same merit list of men because in our case only ** girls go to the academy whereas in men case around **-*** seats remain vacant every year and when we ask a reason for this unjust treatment we are  often sympathised by saying girls cant be in Combat roles  sir then why we see girls serving on borders in Central Armed Police ForceBSFthey are posted in naxal affected areas also.And if not the combat roles WE CAN FILL THE GAPS OF LEFT OVER VACANCIES OF MEN CDS ENTRY taking over administrative posts. The women of today have all the potentials and abilities to stand and compete equally with men but if the system itself is not letting us then sorry to say sir we are already failed much before we think of dreaming something big. I dont know how to console myself and my parents in this situation as I never have failed at any level in this process. The boys get a number of opportunities after their schooling like NDA then IMA OTA but we girls only get one entry i.e OTA and that too not really in favour. Not asking for sympathyjust asking for  If there is Equal criteria equal obligations then why are the OUTCOMES UNEQUAL  Sirwhy are we girls of today being encouraged to keep passion towards this service when we are let down everytime by the system itself whenever we come upto the expectations of it. SirI m folding my hands and requesting you that we have not failed at any level in this process please dont let the system fail us due to GENDER INEQUALITY.I humbly request you to take all the girls who are in the merit this time who are medically fit and give us a true example of Women Empowerment.We see many lady officers leading the whole regiment on Republic day parades is where we see ourselves one day so that we can also inspire the coming generation. We know the value of this servicethe integritythe level of loyalty and Dedication it needswe are readyWE ARE READY TO SERVE THE NATION in all kind of terrain. Today in this erawhenever any common citizen of India face any problemwe often hear such words MODI JI KO BOLO WO PAKKA KUCH KRENGE  Sirwe are looking at your with hopeful eyes and our issue be resolved. Attaching the copies of all my merit lists as proofs. Thanking you. Yours Hopeful Citizen of India Surbhi Sharma D/o Late Trilok Chand ENTRY : SSC NT(W)-** ROLL NO : ******* RANK : **,TAKEN UP WITH SUBORDINATE ORGANISATION,20-08-19,Department of Defence,JS E n CAO, The matter pertains to JS (E/CAO) – AG II side.  Hence forwarded for action and reply to the applicant within ** days under intimation to CPGRAMs.,24
AYUSH/E/2019/00504  ,Sir mera naam varun kumar hai sir mai kirti nagar reshma camp me rahta Hu sir ** August ko meri bhatizi anshi * year ko ulti dast hone lagi mai acharya bhikshu hospital moti nagar me emergency me admit karwane ke liye gaya vaha emergency ke Dr ne admit karne se mana kar diya aur kuchh medicine di aur bole ki dheere dheere aram hoga sir koi aaram nahi hua sir ** August ko phir lekar gaya tab tak meri bhatizi kafi kamzor ho chuki thii tab emergency ke Dr ne admit kiya lekin araam nahi hua maine kaha sir aap kisi dusre hospital me reffer kar do per vo nahi maane sir raat ** pm ko Dr ne ram manohar lohia hospital me reffer kiya vaha Dr ne admit karte hi bol diya ki aapne laane me der kar di aur ** August ko * am ko meri bhatizi dead kar gayi sir meri samjh me nahi aata kisko galti du Dr ko jisne time pe admit aur reffer nahi kiya ya apni bhatizi ko jo humare jaise ghar me paida hui ya apni garibi ko ki humare paas itne paise nahi thei ki hum bade hospital me treatment kara dete sir baat kuchh bhi ho per ab apni bhatizi ki photo dekh kar rone ke siwa kuchh nahi bacha hai sir photo dekh kar lagta hai ki vo humse puchh rahi hai ki jab mujhe bacha nahi sakte thei to paida hi Kyo kiya sir ab to kewal bhagwan se prayer kar sakte hai ki meri bhatizi ki kisi garib ghar me paida na kare nahi to kahi ek aur parivaar abhaga na ban jaye ,TAKEN UP WITH SUBORDINATE ORGANISATION,28-08-19,Public Grievances Commission,Acharyashree Bhikshu Hospital, This complaint is forwarded for taking suitable action to address the grievance within * weeks(** DAYS) and up-loading an action taken report on this website immediately thereafter. While addressing the grievances may adhere to the standard practice which includes the following: (i) Grievances be addressed in accordance with the provisions of applicable laws /rules and procedures. (ii) May adopt fair and transparent approach to redress the grievances. (iii) A self-contained redressal report needs to be uploaded. (iv) If the grievance cannot be redressed a well-reasoned explanatory report be uploaded. (v) If the grievance falls beyond the functional / geographical jurisdiction of the Department the same may be brought out in explanatory report to be up-linked,30
AYUSH/E/2019/00550  ,sir . Ayushman  card jab Sharda hospital Noida ma nahi chalta to es Ko bana kyu raho ho. Ayushman card dekhata he hospetal ma bad khatam ho jata hai.,TAKEN UP WITH SUBORDINATE ORGANISATION,10-09-19,Department of Health & Family Welfare,Director B.N., ,32
AYUSH/E/2019/00560  ,I am CGHS beneficiary & my Beneficiary Id is S-****** .  My mother is suffering from a lung related disease (Pulmonary Edema) & under treatment at CGHS empanelled hospital Primus Super specialty Hospital-Chankyapuri. On dated **/**/**** while she was taking consultation with the treating doctor she fainted down  & having chest pain & short breathlessness . The treating doctor immediately sent to the emergency of the same hospital where vitals were checked (BP-***/***SiO*-** percent).Seeing the seriousness of my mothers condition the doctor in emergency  immediately admitted her in cardiac care unit (CCU) in emergency &  mentioned complaint of ACS/ DOE/ Ped edema  in emergency certificate. In CCU unit my mother was administered medicine for hypertension & possible heart problem related . In addition to this some pathological test (CBCLFTKFT etc) & radio-logical test (X-Ray chest & *D echo)  in CCU was also carried out. The senior cardiologist of the hospital also suggested for coronary angiography  on  the next day (i.e. dated **/**/****). The angiography confirmed blockage in lung arteries & of non CAD type hence advised not to perform angioplasty  due to her old age (** Years) & advised to kept her on medicine to desolve the mild blockage.  On dated **/**/**** at *.**PM   my mother was  discharged in stable condition.Recently I had submitted a MRC in my office in respect of my mother (Beneficiary Id-******). But the dealing assistant  passed the reimbursement amount only half of the claimed amount . When I asked the reason the dealing assistant told me that the reimbursed amount is restricted to only the package charge of coronary angiography. In this regard I humbly request you to issue a clarification whether an impatient  under indoor treatment in emergency is only eligible for the digonestic test  coronary angiography & other expenditure like CCU chargesadmission charges other pathological /radio logical chargesdiet charges being an indoor patient under emergency treatment is not admissible. Also clarify that if any patient admitted in emergency & if she is being discharged suppose one or two week  after the date of admission then the patient is reimbursed only the package rate of angiography & other charges is to beard by the patient itself. This is urgently required as my office is considering that the patient is admitted for coronary angiography  & admissible for the package rate only.,TAKEN UP WITH SUBORDINATE ORGANISATION,09-09-19,Department of Health & Family Welfare,Director CGHS, ,34
AYUSH/E/2019/00582  ,"माननीय प्रधान मंत्री जी सादर बंदे मातरम I "" स्वच्छ भारत "" के साथ ""स्वस्थ भारत ""अभियान की ""कार्य योजना ""क्रियान्वयन हेतु सादर  संलग्न आदेशार्थ प्रेषित है I वैध राकेश प्रकाश निगम इंदौर सम्पर्क :- ********** /**********.",TAKEN UP WITH SUBORDINATE ORGANISATION,20-09-19,Samagra Shiksha,IS 11 Section,  Forwarded for taking necessary action.,36
AYUSH/E/2019/00586  ,Respected sirI vikas kumar yadav cghs kanpur  beneficiary and my parents those or dependent on me also have a beneficiary of cghs . Presently my parents lives in lucknow and i applying for cghs card transfer from kanpur to lucknow cghs but my application is still pending. Kindly do necessary action.Kindly fetch attachment for early action taken in my issue.,TAKEN UP WITH SUBORDINATE ORGANISATION,13-09-19,Department of Health & Family Welfare,Director CGHS, ,38
AYUSH/E/2019/00588  ,Sir I am writing this letter with a very a painful mind as I have been visiting hospital twice in the last six months.Lots of money is spent on my father operation every time I visit hospital they asked me whether I have Aysuman Bharat card and most of the hospital have Aysuman Bharat information counter for which we must thanks government but the sad parts of the story is distribution of card is very unprofessional.Ninety percent of the population of my place ( Baithalangso)does not have the card and the citizens does not know how to get this card so I request the concerns authority to looks into the matters.,TAKEN UP WITH SUBORDINATE ORGANISATION,17-09-19,Department of Health & Family Welfare,Director B.N., ,40
AYUSH/E/2019/00594  ,Bpl card  ************ convert to ayushman bhart,TAKEN UP WITH SUBORDINATE ORGANISATION,17-09-19,Department of Health & Family Welfare,Director B.N., ,42
AYUSH/E/2019/00599  ,This is regarding Ayushman Bharat scheme evaluation of  eligibility for scheme  is not done properly in my village(Chinawalpin ******).Some rich people getting benefit while some poor not. This may happened due to the laziness of survey people. Please provide some option to apply for scheme and/or do the survey once again. I am writing this because people doing survey didn:t asked details to every families but randomly conducted survey.Please reply on patilnikhil**@gmail.comNikhil,TAKEN UP WITH SUBORDINATE ORGANISATION,18-09-19,Department of Health & Family Welfare,Director B.N., ,44
AYUSH/E/2019/00613  ,Matter pertains to CGHS Visakhapatnam :SirCGHS Medical Officer are not prescribing test of Dengue Serology Typhoid and Chikungunia Serology due to which the beneficiary patients have to pay a large amount in the name of tests. It has been observed that Dengue tests are reflecting in CGHS Rate Lists. So it is not known  why the CGHS officers are not prescribing the test.Hence it is requested to look into the matter and do the needful because if the beneficiaries are not getting the facilities under CGHS the purpose is defeated.,TAKEN UP WITH SUBORDINATE ORGANISATION,26-09-19,Director CGHS,CGHS Outside Delhi, ,46
AYUSH/E/2019/00617  ,I smt Devta Devi w/o No ********N Late Hav Bhupendra Kumar of EME Records Secunderabad     i never ever got medical allowances wef ** Aug **** to till dt and so please provide me Photocopy of OPTION Certificate of fixed medical allowances at the earliest and regulate my medical allowances wef ** Aug **** to till date.,TAKEN UP WITH SUBORDINATE ORGANISATION,17-10-19,DGEME,EME PERS, Please examine.,49
AYUSH/E/2019/00626  ,"To The Finance Minister Government of India. Subject -  Demand from the Income Tax Department for the year **** -**** ****-**** & ****-****.Sir I have been served notice regarding the above-mentioned subject. In this regard I have to clarify that I disagree with the above-mentioned demand as my office had deducted the TDS of all the three assessment year which is mentioned in the intimation under section *** of the Income Tax Act **** served by the CPC on **-*-****.  I  am a retired central government employee from the Ministry of Ayush PLIM Ghaziabad. Summary of TDS and Demand is as below:S. No	                       Assessment Year	              TDS Deducted 	               Demand*	                               ****-****	                                 Rs. ****/-	                        Rs. *****/-*  	                               ****-****	                                 Rs. *****/-	                Rs. *****/-*	                               ****-****	                                  Rs. *****/-	                Rs. ****/-Form ** of the above three years are enclosed in this support. In this regard I request you that demand may be nullified and refund of Rs. *****/- may be credited in my account. Thanking You. RegardsVikas Chandra SrivastavaMobile No - **********.PAN No - AEBPS****RDepartment - PLIM Ghaziabad Ministry of AYUSH Government of India",TAKEN UP WITH SUBORDINATE ORGANISATION,26-09-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest. ,53
AYUSH/E/2019/00628  ,Respected sirI am Sateesh  sio puttashetty from mysore i was selected for document verification in RRB PARMEDICAL **/**** EXAM POST IN EXTENSION EDUCATOR AT Guwahati . as per railway recruitment rules post graduate in sociology / MSW ( master of social work)  according to rrb notifaction  candidate should have gradution in socialwork and two yea diploma in health education . here i explain you in india mo onr university have two year diploma in health education . my kind request to you sir please review my document in RRB GUWAHATI AND swlect mr for further process. Because no one candidate have two year diploma due to this course available in india.Roll No :-  ***************RAILWAY RECRUITMENT BOARDSCEN-**/**** (PARAMEDICAL CATEGORIES)CBT - SCORECARD DETAILSName : SATEESHARegistration Number : **********Roll Number : ***************Date of Birth : **/**/****Community : OBC (OTHER BACKWARD CLASS) - NON CREAMY LAYERApplied to RRB : GUWAHATIPost : EXTENSION EDUCATORDate of CBT : **/**/****Shift : **:**-**:**Total number of questions in the questionpaper: ***Number of questions dropped : *Number of valid questions : ***Number of questions attempted by candidate : **Number of correct answers : **Number of wrong answers : **Positive Marks : **.*Negative Marks : **.*Actual marks obtained : **.*Marks obtained (out of ***) : **.*Whether shortlisted,TAKEN UP WITH SUBORDINATE ORGANISATION,26-09-19,Ministry of Railways ( Railway Board),Railway Recruitment Board, ,55
AYUSH/E/2019/00637  ,SIR I EX JC******F NB/SUBEDAR SITANATH BAL SAMANT SOS FROM INDIAN ARMY WEF ** SEPTEMBER ****. THE ASC RECORD SOUTH BANGALORE  IS HARASSMENT ME SINCE LAST * YEARS FOR NOT RELEASE OF MY NEW REVISED COMMUTATION. IN AUGUST MONTHS I SPK TO A CLERK HE SAY  ON * ND WEEK OF AUGUST CREDIT YOUR NEW REVISED COMMUTATION RS******/-BUT ASC RECORD SOUTH BANGALORE IS CRITISIED MY FINANCIAL PROBLEMSIR PLEASE HELP ME FOR RELEASE OF MY NEW REVISED COMMUTATION AN EARLIER.AND ASK TO ASC RECORD SOUTH BANGALORE PIN ****** WHY DELYED,TAKEN UP WITH SUBORDINATE ORGANISATION,24-10-19,QMG,Dir Gen of Supply Transport, The matter pertains to ST Dte.  Hence the same is being forwarded to them for taking necessary action.,59
AYUSH/E/2019/00643  ,Dear sir my name is Vikas s-/-Sangram singh.my loan account in IndusInd bank.and bank do a wrong with me and do a insurance without information give to me .plz refund my insurance in dhfl permits.,TAKEN UP WITH SUBORDINATE ORGANISATION,03-10-19,Reserve Bank of India,INDUSIND BANK LTD, कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें । और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी  अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। Kindly arrange to examine and redress the grievance and give appropriate reply to the complainant within a time bound manner. After redressal a copy of  reply given to complainant alongwith your comments/action may be uploaded on the CPGRAMS portal.  ,65
AYUSH/E/2019/00646  ,Dear sir.i want to state that i filed revised income tax return for the assessment year ****-** with my pan no.ABWPJ****F on *th june ***o having refund claim.but i did not receive the same so far.pl do needful.thanks.Ravinder kumar jain.**********.**th september.****,TAKEN UP WITH SUBORDINATE ORGANISATION,01-10-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest. ,69
AYUSH/E/2019/00647  ,Dear Sir Ref : PAN no: AHQPM****ESub :Request for change of advance tax paid accounting head AY ****-** under the jurisdiction of Pr. CIT thrissur keralaI am a senior citizen retired from BRBNMPL a subsidiary of RBI printing currency notes and also an ex service man .  While Paying advance tax Rs. *****/- for the assessment Year ****-** through SBI tax payment portal  inadvertently made a mistake  doing in wrong accounting head ***/*** which is under IDS **** .The advance tax  payment was to make on ***/*** as I earned interest on my bank deposit  on my retirement benefits.As understood  the collection this IDS **** has gone to the Jurisdictional Pr. CIT thrissur  account  I have sent request letter along with tax paid challan receipt   to Pr. CIT thrissur for correction of this  account head and also registered for grievance redressal form the Income Tax portal .Sir as a truthful tax payer and the amount paid as advance was due for the interest earned from my bank deposit from retirement benefits  only. There is no undisclosed income or earning . The mistake happened due to first time paying advance tax through bank portal and tax head was not known specifically. kindly help me to resolve them by advising the concerned officer  as I dont have any money again to pay as demanded by CPC bangalore through their demand notice.  I am aged and ailing living with  small service pension .  Kindly help do the needful as the office not responded any my appeal.,TAKEN UP WITH SUBORDINATE ORGANISATION,01-10-19,Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX TIRUCHIRAPPALI, ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ,71
AYUSH/E/2019/00648  ,"Dear Sir/MadamThis complaint is against the Provident fund dept regarding  the transfer of my multiple PF accounts I have been facing issues since past * years.Pls find below the details of my PF accounts*.	Bista Solutions	UAN   - ************			Job Duration - Sep**-Nov***.	Syntel Ltd	UAN -************			Job Duration - Aug**-Mar***.	Intelenet 	PF  - KD/MAL/*******/***/*******	Job Duration - Jan**-Aug**I want to merge above three accounts of mine and have been to your Kandivali and Bandra office multiple times but could not find any solutions. I was told that I have to get the transfer done through my last organization but since I am no more working at the moment  even my last company is unable to help me sort out the issue.I have tried to get the transfer done online but the system is not allowing me to do becoz of the duplicate UAN no created.Request your kind self to pls help me merge all of my above PF accounts. Its has been * years and I have not been able to sort out the issue in spite of visiting your offices multiple times.Thanks and RegardsKishwar Shaikh**********",TAKEN UP WITH SUBORDINATE ORGANISATION,01-10-19,Employees Provident Fund Organisation (Head Office),"EPFO, Regional Office, Mumbai (Kandivili)", ,75
AYUSH/E/2019/00657  ,Sir       I am  worked as a postmanin departmentof posts at madanapalle  HO chittoor dist Andhra pradesh  -******  since      **-**-****  and retired from service on **-**-****  as per O M no *-*-/**** PCC issued  by government  of India Ministry  of communication  department of posts Dt **-**-**** .National monetary benefit to  the postman/ mail gouard W E O **-**-**** to **-**-**** in the revised  pay  scale of Rs ****-****. should be drawn and paid but till this date the postmaster  madalapalle Ho  not drawn and paid,TAKEN UP WITH SUBORDINATE ORGANISATION,01-10-19,Kurnool Region,Office of SSPOs Chittoor, Please find remarks of the complainant and take necessary action to settle the grievance.,81
AYUSH/E/2019/00658  ,Above reference * & * my grievance was dispose offBut going back in decade of **** when there was not any telecom revolution when the telephone was not a necessity the waiting period was of * years . I remember my father booked the land line in **** and after  * years we got our land line in ****. There was no digital revolution.I am demanding land line from **** the situation is same in era of digital India. & that to in the area off biggest IT parks working.Then also Best wishes to BSNL because long bond having with BSNL from **** in then **** today ***. ***** **** *** and again waiting for *** since ****.Hope Sr. Management above AGM  will look in the matter.*) P M O P G /E / * * * * / * ** * * * * *)Service order no ********** dated **/**/**** of BSNL O/o the  divisional engineer Telecom BSNL W a k a d Telephone Exchange Compound W a k a d P u n e- ****** issued by j t o (H i n j a w a d i) P u n e ****** issued on **/**/****. Copy of ****th letter is enclosed.,TAKEN UP WITH SUBORDINATE ORGANISATION,01-10-19,MAHARASHTRA TELECOM CIRCLE,PUNE, The action may be taken in the matter and a reply duly approved by unit head concerned be sent to the complainant directly and uploaded in the portal also. Further it is requested to verify the redressal of the grievance from the complainant his satisfaction/feedback should be taken and write the name and designation of the executive in the SSA who has spoken and verified from the complainant with date and time.,87
AYUSH/E/2019/00662  ,I retired on ** Aug ****. My Pension Payment Order (PPO) not yet received till date from PCDA (Pension) Allahabad. My GP Fund Account No is ******A. My HOO Address is HQ EASTERN COMMAND GS(EDN) BRANCH FORT WILLIAM KOLKATA-**. Please do needful and direct PCDA Allahabad to forward PPO at the earliest please.,TAKEN UP WITH SUBORDINATE ORGANISATION,14-10-19,PENSION COMPLAINT CELL CGDA,PCDA PENSION, कृपया उचित कार्रवाई कर इस मुख्यालय सहित शिकायतकर्ता को सुचित करे।,96
AYUSH/E/2019/00663  ,Pl go through the attached letter.,TAKEN UP WITH SUBORDINATE ORGANISATION,30-09-19,Department of Health & Family Welfare,Health and family Welfare, ,98
